track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,35,109,41,14,211,122,F#,Minor,81,74,71,14,0,56,4,MOJABI GHOST,DATA,Tainy,6/29/2023,USA2P2331985,"1,188",43.5,"368,429,447","46,625","20,677,828",75.0,"74,049,864","676,666","3,207","955,307","6,911,099","638,649,904",52.0,"4,683",49,11.0,"847,361",10.0,"6,221,683","1,262",,"715,485",,1
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,USUG12300802,157,121.9,"922,010,059","107,189","61,174,155",79.0,"141,852,059","567,295","285,414","61,112,010","811,685,466","182,412,108",106.0,"18,364","1,846",7.0,"33,712",38.0,"307,115,852","200,650","13,022,144","2,665,347",,1
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,USUG12300831,681,58.6,"922,010,059","5,520","576,014",50.0,,,,,,,49.0,"546,787",,,,4.0,,,,,,0
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6,Rush,Rush,Ayra Starr,9/16/2022,NGA3B2216004,205,106.4,"371,886,608","98,009","19,411,516",67.0,"361,174,452","1,904,397","3,035,139","98,505,939","1,454,848,289","269,311,214",162.0,"85,871",230,47.0,"2,772,886",67.0,"10,681,624","3,972","9,245,741","8,870,769",,0
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6,Rush,Rush,Troye Sivan,7/13/2023,AUUM72300170,"1,109",45.2,"299,291,405","45,754","35,127,971",28.0,"59,684,881","1,156,874","37,300","31,430,262","341,762,321","635,932,163",106.0,"22,607",649,65.0,"1,709,032",66.0,"741,956","1,616",,"1,347,624",,1
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,20,185,13,8,197,168,F#,Major,56,63,87,39,0,11,5,TULUM,TULUM,Peso Pluma,6/28/2023,QM7282325573,328,84.6,"390,182,196","36,912","13,688,250",74.0,"253,468,644","1,103,093","1,096,644","84,875,226","1,391,833,232","51,539,597",44.0,"20,963",71,16.0,"2,197,720",38.0,"23,438,854","7,268","2,169,379","964,306",,1
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,Anti-Hero,Midnights,Taylor Swift,10/21/2022,USUG12205736,91,161.8,"1,563,224,246","117,005","97,456,780",80.0,"203,259,285","3,482,508","1,302,967","376,660,493","3,864,505,972","724,976,542",261.0,"1,034,319","1,088",74.0,"4,457,357",150.0,"92,338,994","45,974",,"4,703,179",,0
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393,115,123,184,18,354,180,E,Minor,72,61,63,67,0,9,28,TQG,TQG,KAROL G,2/23/2023,USUM72222541,80,167.8,"1,024,381,758","78,554","69,319,589",78.0,"1,102,289,596","8,953,293","457,111","15,048,444","248,168,852","1,174,053,183",138.0,"149,584",38,84.0,"8,850,320",131.0,"68,022,934","16,511","164,895","3,488,226",,1
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413,22,33,34,7,184,120,,Major,81,63,68,11,0,11,4,Los del Espacio,Los del Espacio - Single,LIT killah,6/1/2023,USWL12300725,336,83.3,"373,898,429","53,671","24,287,193",72.0,"314,467,618","1,775,081","782,114","148,537,760","1,715,842,070","670,200,525",42.0,"29,417",3,27.0,"645,947",28.0,"79,804",197,,"776,352",,0
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3,Frï¿½ï¿½gil (feat. Grupo Front,Frï¿½ï¿½gil (feat. Grupo Front,Yahritza Y Su Esencia,4/7/2023,USQX92302369,765,55.4,"432,988,420","32,294","28,454,994",67.0,"194,658,217","1,261,625","633,280","45,475,847","750,998,497","9,725,361",35.0,"22,768",31,14.0,"1,229,279",25.0,"33,073,012","10,830",,"1,407,776",,0
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,Blank Space,1989 (Deluxe),Taylor Swift,1/1/2014,USCJY1431309,463,71.5,"1,829,733,410","157,465","49,558,504",76.0,"3,624,778,617","16,916,871","104,685","38,075,232","346,032,878","1,811,140,554",154.0,"41,483",123,107.0,"566,690",28.0,"730,704,780","855,164","749,243","12,259,073",,0
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,Style,1989 (Deluxe),Taylor Swift,1/1/2014,USCJY1431319,"3,179",24.4,"1,216,966,135","92,577","30,252,887",74.0,"848,555,837","4,212,951","71,954","63,817,390","428,073,160","1,557,663,895",116.0,"18,666",117,12.0,"44,098",2.0,"388,338,220","136,828","448,643","6,844,702",,0
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,TQM,TQM - Single,Fuerza Regida,5/19/2023,QZ9QQ2300371,869,51.8,"497,682,165","40,368","24,948,673",70.0,"143,949,357","729,741","236,300","73,808,507","824,220,151","65,010",48.0,"1,643",19,18.0,"6,780,767",19.0,"34,606,889","10,877",,"616,368",,1
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6,El Azul,El Azul - Single,Junior H,2/10/2023,QZ9QQ2300115,"1,206",43.1,"684,103,586","42,304","22,784,674",76.0,"125,144,381","583,066","433,800","68,202,730","622,470,844","445,229,053",37.0,112,2,4.0,"1,164,409",9.0,"10,305,981","2,327",,"764,296",,0
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5,Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/2018,USUM71814888,116,143.9,"3,358,704,125","392,082","123,917,182",79.0,"2,763,188,773","19,410,390","2,714,134","178,829,434","1,597,453,878","484,189,798",351.0,"273,683",,86.0,"809,352",99.0,"546,367,356","906,813",,"1,569,935",,0
