track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,44,64,106,Minor,72,17,64,7,0,10,5,El Cielo,El Cielo - Single,Sky Rompiendo,6/2/2023,USSD12300241,"1,068",46.4,"354,097,795","53,606","50,446,311",74.0,89166241.0,599270.0,26367.0,10289035.0,107126101.0
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,145,111,128,Major,60,23,91,0,0,12,3,Baby Don't Hurt Me,Baby Don't Hurt Me - Single,David Guetta,4/7/2023,UKWLG2300016,300,87.7,"509,231,024","69,486","142,546,135",79.0,40223001.0,328421.0,961638.3856,42.0,312.0
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,14,71,107,Minor,92,55,70,18,0,15,7,AMARGURA,MAï¿½ï¿½ANA SERï¿½ï¿,KAROL G,2/24/2023,USUM72222552,477,70.4,"629,102,459","31,206","51,913,972",81.0,317295184.0,924600.0,969500.0,28700787.0,404330162.0
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,0,0,130,Minor,67,96,88,12,19,8,4,(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,6/15/2023,GBBKS2300080,105,150.4,"460,156,070","163,449","127,827,271",77.0,8183226.0,98257.0,530103.0,65920648.0,1032799567.0
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,250,122,123,Minor,45,13,54,70,0,9,4,Another Love,Songs from Another Love,Tom Odell,1/1/2012,GBARL1300107,"1,842",33.9,"2,444,335,468","380,675","168,483,196",83.0,996981745.0,9104648.0,452786.0,77257465.0,714451407.0
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,672,199,171,Major,50,38,80,0,0,9,7,Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194.0,"4,281,468,720","590,392","165,544,011",83.0,833807130.0,10093211.0,2882064.0,337322563.0,3501177394.0
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,67,79,137,Minor,64,88,72,51,0,17,5,Moonlight,Moonlight,Kali Uchis,2/24/2023,USUM72219486,275,93.1,"701,558,859","110,539","46,729,655",74.0,209195939.0,2284142.0,594413.0,173483893.0,1114531877.0
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,139,111,125,Minor,84,85,68,58,0,22,4,La Bachata,La Bachata,Manuel Turizo,5/26/2022,QZDYA1800087,146,126.2,"1,721,045,197","156,941","97,122,096",81.0,798827877.0,3379928.0,1614275.0,209367923.0,2596777974.0
S91,Karol G,1,2023,7,14,525,41,16011326,34,115,128,Minor,86,42,72,59,0,9,19,S91,S91,KAROL G,7/14/2023,USUG12305255,840,53.0,"240,161,044","22,270","15,087,485",64.0,164645464.0,1308408.0,503900.0,16972968.0,257922639.0
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,106,112,130,Minor,61,53,58,55,0,27,4,cardigan,folklore,Taylor Swift,7/24/2020,USUG12002836,"1,458",38.4,"1,307,283,069","94,169","67,796,903",80.0,250157022.0,3792791.0,1470630.0,374412871.0,2941268049.0
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,27,17,130,Major,86,59,96,50,1,9,5,Tï¿½ï¿,Tï¿½ï¿,DENNIS,5/4/2023,BRSME2300692,601,61.7,"333,339,751","41,237","24,980,357",69.0,164941550.0,1130932.0,1253933.0,124997599.0,1585272275.0
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,38,0,101,Major,88,72,59,62,0,9,3,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,6/24/2022,USAT22205563,"1,542",37.4,"947,763,871","59,942","47,877,896",72.0,65306295.0,1305561.0,5486.0,2914991.0,20119789.0
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728,82,121,95,Minor,77,53,64,74,0,17,14,BESO,RR,ROSALï¿½,3/24/2023,USSM12301258,313,86.3,"647,201,484","81,393","46,208,549",74.0,186060248.0,1524559.0,946380.0,131649631.0,1792090770.0
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710,63,79,98,Minor,90,40,59,0,0,10,29,Hey Mor,Hey Mor,Ozuna,10/6/2022,QMDA62203322,364,80.1,"986,132,265","97,956","68,983,561",76.0,383748675.0,1303919.0,793798.0,154969251.0,2145975300.0
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,37,55,90,Major,64,10,62,7,0,48,7,Karma,Karma,JoJo Siwa,4/5/2024,USSM12401851,716,57.2,"17,310,258","1,840","5,419,557",70.27465857359635,43892777.0,368031.0,199600.0,134373320.0,1314113353.0
People,Libianca,1,2022,12,2,3506,56,373199958,105,64,198,Minor,59,71,42,55,0,10,7,People,People - Single,Libianca,12/5/2022,QZTB52268087,141,127.8,"631,955,547","121,823","45,030,006",74.0,305998382.0,2647341.0,3168854.0,243797561.0,3233505931.0
